Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
47;infrastructure;1.Obergeschoss;B0:4E:26:BD:E4:AC;;7;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:58:58 2019;Sat Dec  7 20:59:27 2019;-79;0;0;51.278557;7.228970;1.027000;298.307495;51.278625;7.229162;1.527000;298.307495;51.278557;7.229162;1.027000;0;0;0.0.0.0;
48;infrastructure;o2-WLAN97;5C:E2:8C:2E:06:30;;9;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Sat Dec  7 20:58:51 2019;Sat Dec  7 20:59:13 2019;-76;0;0;51.278503;7.229118;0.916000;0.000000;51.278576;7.229162;1.181000;0.000000;51.278503;7.229118;1.123000;0;0;0.0.0.0;
49;infrastructure;Drahtfunk;08:96:D7:CC:C0:56;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;2;0;0;2;;;Sat Dec  7 20:58:51 2019;Sat Dec  7 20:59:00 2019;-65;0;0;51.278503;7.229118;1.123000;0.000000;51.278530;7.229125;1.237000;0.000000;51.278503;7.229118;1.123000;0;0;0.0.0.0;
50;infrastructure;Telekom_FON;C8:0C:C8:D2:8A:5A;;1;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 20:58:54 2019;Sat Dec  7 20:59:01 2019;-72;0;0;51.278530;7.229125;1.027000;24.590000;51.278576;7.229176;1.240000;24.590000;51.278530;7.229125;1.240000;0;0;0.0.0.0;
51;infrastructure;easybell DSL;34:31:C4:C2:35:6A;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Sat Dec  7 20:58:49 2019;Sat Dec  7 20:59:02 2019;-72;0;0;51.278492;7.229115;0.779000;19.512199;51.278587;7.229170;1.197000;19.512199;51.278492;7.229115;1.197000;0;0;0.0.0.0;
52;infrastructure;WLAN-PGC3YA;F4:06:8D:D2:51:D8;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 20:58:58 2019;Sat Dec  7 20:59:03 2019;-75;0;0;51.278557;7.229162;0.779000;298.307495;51.278587;7.229176;1.139000;298.307495;51.278557;7.229162;1.027000;0;0;0.0.0.0;
53;infrastructure;Gastzugang;36:81:C4:C9:B7:7B;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:58:57 2019;Sat Dec  7 20:58:59 2019;-76;0;0;51.278553;7.229138;0.766000;345.653015;51.278561;7.229171;0.936000;345.653015;51.278553;7.229138;0.766000;0;0;0.0.0.0;
54;infrastructure;devolo-f4068d99b498;F4:06:8D:99:B4:98;;11;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Sat Dec  7 20:58:48 2019;Sat Dec  7 20:59:00 2019;-77;0;0;51.278492;7.229115;0.766000;19.512199;51.278561;7.229171;1.240000;19.512199;51.278492;7.229115;1.197000;0;0;0.0.0.0;
55;infrastructure;Telekom_FON;EC:CB:30:EC:E9:F0;;11;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Sat Dec  7 20:58:49 2019;Sat Dec  7 20:58:59 2019;-80;0;0;51.278492;7.229115;0.766000;19.512199;51.278561;7.229171;1.197000;19.512199;51.278492;7.229115;1.197000;0;0;0.0.0.0;
56;infrastructure;;C4:E9:84:3F:9B:4C;;1;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Sat Dec  7 20:58:46 2019;Sat Dec  7 20:58:48 2019;-1;0;0;51.278469;7.229095;1.088000;41.560200;51.278469;7.229095;1.088000;41.560200;51.278469;7.229095;1.088000;0;0;0.0.0.0;
